"filename", "language", "Ignore", "PHP", "JavaScript", "Batch", "YAML", "Markdown", "XML", "JSON", "Docker", "Shell Script", "Properties", "PostCSS", "comment", "blank", "total"
"c:\laragon\www\laravelshare\resources\views\download-password.blade.php", "PHP", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 100
"c:\laragon\www\laravelshare\resources\views\errors\404.blade.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\laragon\www\laravelshare\resources\views\layout.blade.php", "PHP", 0, 586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 49, 652
"c:\laragon\www\laravelshare\resources\views\layouts\app.blade.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\laragon\www\laravelshare\resources\views\layouts\guest.blade.php", "PHP", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 87
"c:\laragon\www\laravelshare\resources\views\layouts\navigation.blade.php", "PHP", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 101
"c:\laragon\www\laravelshare\resources\views\profile\edit.blade.php", "PHP", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 77
"c:\laragon\www\laravelshare\resources\views\profile\partials\delete-user-form.blade.php", "PHP", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 94
"c:\laragon\www\laravelshare\resources\views\profile\partials\update-password-form.blade.php", "PHP", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 96
"c:\laragon\www\laravelshare\resources\views\profile\partials\update-profile-information-form.blade.php", "PHP", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 101
"c:\laragon\www\laravelshare\resources\views\security-dashboard.blade.php", "PHP", 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 195
"c:\laragon\www\laravelshare\resources\views\upload-success.blade.php", "PHP", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 171
"c:\laragon\www\laravelshare\resources\views\upload.blade.php", "PHP", 0, 479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 58, 563
"c:\laragon\www\laravelshare\resources\views\upload_backup.blade.php", "PHP", 0, 400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 419
"c:\laragon\www\laravelshare\resources\views\upload_new.blade.php", "PHP", 0, 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 421
"c:\laragon\www\laravelshare\resources\views\welcome.blade.php", "PHP", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 141
